id,Title,Director,Cast,Genre,year,imbd link
97,Guddi,Hrishikesh Mukherjee,"Dharmendra, Jaya Bhaduri, Pran",Romance,1971,http://www.imdb.com/find?q=Guddi+1971+
98,Haathi Mere Saathi,M.A. Thirumugham,"Rajesh Khanna, Tanuja",Romance,1971,http://www.imdb.com/find?q=Haathi+Mere+Saathi+1971+
99,Hare Rama Hare Krishna,Dev Anand,"Dev Anand, Zeenat Aman, Mumtaz, Prem Chopra, RajendraNath",Drama,1971,http://www.imdb.com/find?q=Hare+Rama+Hare+Krishna+1971+
100,Haseenon Ka Devata,Ravikant Nagaich,"Sanjay Khan, Rekha, Helen",Drama,1971,http://www.imdb.com/find?q=Haseenon+Ka+Devata+1971+
101,Hulchul,O. P. Ralhan,"Prem Chopra, kabir bedi, zeenat aman, Helen, Madan Puri",Thriller,1971,http://www.imdb.com/find?q=Hulchul+1971+
102,Hum Tum Aur Woh,Shiv Kumar,"Vinod Khanna, Aruna Irani",Drama,1971,http://www.imdb.com/find?q=Hum+Tum+Aur+Woh+1971+
103,Hungama,,"Kishore Kumar, Vinod Khanna, Mumtaz",Comedy,1971,http://www.imdb.com/find?q=Hungama+1971+
104,Jaane-Anjaane,Shakti Samanta,"Shammi Kapoor, Vinod Khanna, Leena Chandavarkar",Drama,1971,http://www.imdb.com/find?q=Jaane-Anjaane+1971+
105,Jai Bangladesh,I. S. Johar,"Kabari Choudhury, Dilip Dutt",Drama,1971,http://www.imdb.com/find?q=Jai+Bangladesh+1971+
106,Jai Jawan Jai Makan,Vishram Bedekar,"Jaya Bhadhuri, Anil Dhawan",Drama,1971,http://www.imdb.com/find?q=Jai+Jawan+Jai+Makan+1971+
107,Jal Bin Machhli Nritya Bin Bijli,Rajaram Vankudre Shantaram,"Dina Pathak, Abhijeet",Romance,1971,http://www.imdb.com/find?q=Jal+Bin+Machhli+Nritya+Bin+Bijli+1971+
108,Jawan Mohabbat,Bhappi Sonie,"Shammi Kapoor, Asha Parekh, Mumtaz, Pran",Romance,1971,http://www.imdb.com/find?q=Jawan+Mohabbat+1971+
109,Johar Mehmood in Hong Kong,S.A. Akbar,"Mehmood, Aruna Irani, Pran",Comedy,1971,http://www.imdb.com/find?q=Johar+Mehmood+in+Hong+Kong+1971+
110,Jwala,M.V. Raman,"Sunil Dutt, Madhubala, Pran",Action,1971,http://www.imdb.com/find?q=Jwala+1971+
111,Kabhi Dhoop Kabhi Chhaon,Chandrakant,"Dara Singh, Ameeta",Drama,1971,http://www.imdb.com/find?q=Kabhi+Dhoop+Kabhi+Chhaon+1971+
112,Kahin Aar Kahin Paar,,"Joy Mukherjee, Nadira",Romance,1971,http://www.imdb.com/find?q=Kahin+Aar+Kahin+Paar+1971+
113,Kal Aaj Aur Kal,Randhir Kapoor,"Prithviraj Kapoor, Raj Kapoor, Randhir Kapoor, Babita",Drama,1971,http://www.imdb.com/find?q=Kal+Aaj+Aur+Kal+1971+
114,Kangan,K.B. Tilak,"Aruna Irani, Mala Sinha, Sanjeev Kumar",Drama,1971,http://www.imdb.com/find?q=Kangan+1971+
115,Kathputli,Brij,"Jeetendra, Mumtaz",Romance,1971,http://www.imdb.com/find?q=Kathputli+1971+
116,Khoj,Jugal Kishore,"Farida Jalal, Shatrughan Sinha",Drama,1971,http://www.imdb.com/find?q=Khoj+1971+
117,Ladki Pasand Hai,C.L. Rawal,Mumtaz,Drama,1971,http://www.imdb.com/find?q=Ladki+Pasand+Hai+1971+
118,Lagan,Ramanna,Prem Chopra,Drama,1971,http://www.imdb.com/find?q=Lagan+1971+
119,Lakhon Mein Ek,S.S. Balan,"Aruna Irani, Mehmood, Pran",Comedy,1971,http://www.imdb.com/find?q=Lakhon+Mein+Ek+1971+
120,Lal Patthar,Sushil Majumdar,"Raj Kumar, Hema Malini, Raakhee, Vinod Mehra",Romance,1971,http://www.imdb.com/find?q=Lal+Patthar+1971+
121,Main Sunder Hoon,R. Krishnan,"Mehmood, Leena Chandavarkar",Drama,1971,http://www.imdb.com/find?q=Main+Sunder+Hoon+1971+
122,Man Mandir,Tapi Chanakya,"Sanjeev Kumar, Waheeda Rehman, Rakesh Roshan",Drama,1971,http://www.imdb.com/find?q=Man+Mandir+1971+
123,Man Tera Tan Mera,B. R. Ishara,Rehana Sultan,Drama,1971,http://www.imdb.com/find?q=Man+Tera+Tan+Mera+1971+
124,Maryada,Aravind Sen,"Rajesh Khanna, Mala Sinha, Pran",Romance,1971,http://www.imdb.com/find?q=Maryada+1971+
125,Mehboob Ki Mehndi,Harnam Singh Rawail,"Rajesh Khanna, Leena Chandavarkar",Romance,1971,http://www.imdb.com/find?q=Mehboob+Ki+Mehndi+1971+
126,Mela,Prakash Mehra,"Sanjay Khan, Mumtaz, Feroz Khan",,1971,http://www.imdb.com/find?q=Mela+1971+
127,Memsaab,Atma Ram,"Vinod Khanna, Yogeeta Bali",Drama,1971,http://www.imdb.com/find?q=Memsaab+1971+
128,Mera Gaon Mera Desh,Raj Khosla,"Asha Parekh, Dharmendra, Vinod Khanna",Drama,1971,http://www.imdb.com/find?q=Mera+Gaon+Mera+Desh+1971+
129,Mere Apne,Gulzar,"Meena Kumari, Vinod Khanna, Shatrughan Sinha",Drama,1971,http://www.imdb.com/find?q=Mere+Apne+1971+
130,Naya Zamana,Pramod Chakravorty,"Dharmendra, Hema Malini, Ashok Kumar, Pran",Romance,1971,http://www.imdb.com/find?q=Naya+Zamana+1971+
131,Paras,C.P. Dixit,"Sanjeev Kumar, Shatrughan Sinha, Raakhee",Drama,1971,http://www.imdb.com/find?q=Paras+1971+
132,Paraya Dhan,Rajendra Bhatia,"Hema Malini, Rakesh Roshan, Balraj Sahni",Drama,1971,http://www.imdb.com/find?q=Paraya+Dhan+1971+
133,Parde Ke Peechey,K. Shankar,"Yogeeta Bali, Bindu, Pran",Drama,1971,http://www.imdb.com/find?q=Parde+Ke+Peechey+1971+
134,Parwana,Jyoti Swaroop,"Amitabh Bachchan. navin nischal, Yogeeta Bali",,1971,http://www.imdb.com/find?q=Parwana+1971+
135,Patanga,Kedar Kapoor,"Shashi Kapoor Vimi, Zeb Rehman",Drama,1971,http://www.imdb.com/find?q=Patanga+1971+
